epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.361,1.67841,3.8345,1.71552,0.09743,0.28695,0.05972,0.02506,1.50885,11.2994,1.56113,0.000665083,0.000665083,0.000665083
2,346.883,1.85838,2.69185,1.94462,0.01101,0.5329,0.00877,0.00322,1.77019,30.3729,2.20467,0.00130538,0.00130538,0.00130538
3,523.792,1.89658,2.65039,1.96658,0.32042,0.30721,0.24205,0.10486,1.36546,3.47718,1.60054,0.00191928,0.00191928,0.00191928
4,701.131,1.89097,2.65936,1.93726,0.24135,0.33873,0.19026,0.08375,1.29364,3.20584,1.41332,0.0018812,0.0018812,0.0018812
5,875.081,1.78092,2.54375,1.86561,0.25401,0.38511,0.2347,0.1116,1.27409,2.40557,1.4159,0.0018416,0.0018416,0.0018416
6,1048.91,1.75803,2.37573,1.83513,0.38375,0.37216,0.34807,0.1651,1.19212,3.86093,1.34205,0.001802,0.001802,0.001802
7,1219.35,1.71325,2.41906,1.82472,0.41721,0.38305,0.36628,0.18454,1.18174,1.895,1.28653,0.0017624,0.0017624,0.0017624
8,1389.32,1.65717,2.27948,1.74645,0.44381,0.45622,0.41166,0.20432,1.21569,1.5839,1.31537,0.0017228,0.0017228,0.0017228
9,1560.69,1.62433,2.1417,1.71405,0.43835,0.44453,0.39752,0.20166,1.1654,1.83593,1.24151,0.0016832,0.0016832,0.0016832
10,1733.13,1.60341,2.23821,1.70343,0.45565,0.44876,0.41375,0.21584,1.16316,1.86712,1.30288,0.0016436,0.0016436,0.0016436
11,1905.42,1.61002,2.35822,1.6931,0.35541,0.49189,0.31954,0.15395,1.15184,2.22712,1.20888,0.001604,0.001604,0.001604
12,2075.99,1.59015,2.19212,1.67337,0.40952,0.42934,0.39578,0.20747,1.17921,1.7327,1.29037,0.0015644,0.0015644,0.0015644
13,2245.25,1.58963,2.11473,1.68422,0.50504,0.46671,0.46498,0.24611,1.14738,1.58896,1.23781,0.0015248,0.0015248,0.0015248
14,2415.71,1.5954,2.05111,1.6721,0.44322,0.49083,0.44212,0.23172,1.10956,1.75071,1.20978,0.0014852,0.0014852,0.0014852
